DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
220812895,8/4/2022,9/17/2021,2005,West LA,THEFT OF IDENTITY,25,M,H,,Invest Cont,9200    HARLOW                       AV
232104567,1/17/2023,11/18/2021,800,Topanga,THEFT OF IDENTITY,41,F,O,,Invest Cont,8300    HILLVIEW                     AV
220510199,6/14/2022,11/10/2021,1136,Harbor,THEFT OF IDENTITY,46,F,O,,Invest Cont,1000    HARBOR HEIGHTS               DR
231505835,2/13/2023,12/31/2021,1700,N Hollywood,THEFT OF IDENTITY,39,F,W,,Invest Cont,11500    HUSTON                       ST
230207367,3/1/2023,1/1/2021,1200,Rampart,THEFT OF IDENTITY,35,F,B,,Invest Cont,100    WITMER                       ST
221913661,8/25/2022,1/1/2021,1215,Mission,THEFT OF IDENTITY,43,M,H,,Invest Cont,8700    TOBIAS                       AV
231608249,5/16/2023,5/3/2021,1,Foothill,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),10,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,13600    FILMORE                      ST
221717392,12/8/2022,11/27/2021,1010,Devonshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",42,F,A,,Invest Cont,18400    PLUMMER                      ST
231007965,4/14/2023,3/1/2021,600,West Valley,UNAUTHORIZED COMPUTER ACCESS,41,M,O,,Adult Other,16000    KITTRIDGE                    ST
221010077,6/6/2022,10/28/2021,1205,West Valley,THEFT OF IDENTITY,22,M,W,,Invest Cont,16000    ROYAL OAK                    RD
230106011,1/31/2023,3/1/2021,1400,Central,THEFT OF IDENTITY,60,M,H,,Invest Cont,100 S  FIGUEROA                     ST
231605693,2/21/2023,12/21/2021,1400,Foothill,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",37,M,H,,Invest Cont,LAUREL CANYON                BL
222112398,8/1/2022,5/6/2021,1200,Topanga,THEFT OF IDENTITY,41,M,W,,Invest Cont,22000    BURBANK                      BL
231311554,5/30/2023,9/11/2021,1100,Newton,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0,,,,Invest Cont,200 E  45TH                         ST
222112536,8/3/2022,12/6/2021,1055,Topanga,THEFT OF IDENTITY,48,M,W,,Invest Cont,23900    CALVERT                      ST
221419850,12/5/2022,7/16/2021,1310,Pacific,THEFT OF IDENTITY,41,M,O,,Invest Cont,7300    LA TIJERA                    BL
220616735,9/20/2022,10/19/2021,2300,Hollywood,VANDALISM - MISDEAMEANOR ($399 OR UNDER),23,M,W,,Invest Cont,1100 N  ARDMORE                      AV
220114667,6/21/2022,10/16/2021,1100,Central,THEFT OF IDENTITY,0,M,H,,Invest Cont,200 N  MAIN                         ST
221610053,7/2/2022,8/16/2021,1415,Foothill,THEFT OF IDENTITY,23,M,W,,Invest Cont,9800    HELEN                        AV
221512223,7/12/2022,11/6/2021,1625,N Hollywood,THEFT OF IDENTITY,39,F,O,,Invest Cont,11100    RIVERSIDE                    DR
221412436,6/15/2022,12/23/2021,1500,Pacific,TRESPASSING,46,F,W,,Adult Other,8100    REDLANDS                     ST
